ï»¿V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q14,Q1,Q2,Q3,Q3_TEXT,Q4,Q4_TEXT,Q5,Q5_TEXT,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_6_TEXT,Q7,Q8,Q9,Q10,Q11,Q12_1,LocationLatitude,LocationLongitude,LocationAccuracy
R_C2NfG3jW8WjJslP,Default Response Set,Anonymous,,,152.3.21.128,0,2/25/15 16:04,2/25/15 16:06,1,Px19,1,19,2,Nigeria,1,,2,2,1,,,,,,,,,2,,1.5,3,35.9954071,-78.90190125,-1
R_BrIlJlX6sJSJOh3,Default Response Set,Anonymous,,,152.3.21.128,0,2/27/15 12:56,2/27/15 12:57,1,Px20,1,38,1,,1,,1,,,,,,1,,,,no,2,no,5,4,35.9954071,-78.90190125,-1
R_UzL2TgWtZlozfz3,Default Response Set,Anonymous,,,152.3.21.128,0,2/27/15 13:51,2/27/15 13:58,1,Px21,2,25,2,slovakia,1,,2,19,,,,,1,,,,no,2,,4,3,35.9954071,-78.90190125,-1
R_XyKQu9CgmNEobkt,Default Response Set,Anonymous,,,152.3.21.128,0,3/4/15 16:28,3/4/15 16:32,1,Px22,1,25,1,,1,,1,,,,,,1,,,n/a,none,2,none,5,4,35.9954071,-78.90190125,-1
R_28B2Vq8frnrLeTR,Default Response Set,Anonymous,,,152.3.21.128,0,3/5/15 12:51,3/5/15 14:01,1,Px23,1,21,2,China,1,,2,18,,,1,,,,,,,2,,4,2,35.9954071,-78.90190125,-1
R_2t8UAHF0E0psvFZ,Default Response Set,Anonymous,,,152.3.21.128,0,3/5/15 16:01,3/5/15 16:03,1,Px24,2,21,2,England,1,,2,17,1,,,,,,,,No,2,,4,4,35.9954071,-78.90190125,-1
R_O20Hu2EEQVqCFu9,Default Response Set,Anonymous,,,152.3.21.128,0,3/6/15 12:57,3/6/15 13:04,1,Px25,1,21,2,Netherlands,2,Canadian Citizen,2,4,,,,,,1,Not an American Citizen,Korean,No,2,No,12,4,35.9954071,-78.90190125,-1
R_3CKuQuHxvepoDYB,Default Response Set,Anonymous,,,152.3.21.128,0,3/6/15 13:57,3/6/15 14:12,1,Px26,2,23,1,,1,,2,19,,,,1,,,,,no,2,no,3,2,35.9954071,-78.90190125,-1
R_2wo5Oc9f9eGulgR,Default Response Set,Anonymous,,,152.3.21.128,0,3/18/15 15:44,3/18/15 16:07,1,Px28,2,24,2,Taiwan,1,,2,23,,,1,,,,,,no,1,"low processed sugar, low gluten",4.5,3,35.9954071,-78.90190125,-1
R_2OSJLfQ5vsU4w79,Default Response Set,Anonymous,,,152.3.21.128,0,3/21/15 15:52,3/21/15 15:56,1,Px29,2,28,1,,1,,1,,,,,1,,,,,,2,,4,5,35.9954071,-78.90190125,-1
R_WkfSZHYDlyt8xMd,Default Response Set,Anonymous,,,152.3.21.128,0,3/21/15 17:01,3/21/15 17:09,1,Px30,2,21,1,,1,,1,,,,1,,,,,,no,2,no,4,4,35.9954071,-78.90190125,-1
R_1yKWyGQiiU0tyJX,Default Response Set,Anonymous,,,152.3.43.156,0,3/24/15 2:30,3/24/15 2:30,1,,,,,,,,,,,,,,,,,,,,,,,35.9954071,-78.90190125,-1
R_2SuX7gFZmCTsxcU,Default Response Set,Anonymous,,,152.3.21.128,0,3/24/15 11:55,3/24/15 12:01,1,Px31,2,28,1,,1,,1,,,,1,,1,,,,"figs, strawberries",2,,13,4,35.9954071,-78.90190125,-1
R_1q54gs2kitcHP31,Default Response Set,Anonymous,,,152.3.21.128,0,3/24/15 14:58,3/24/15 14:59,1,Px32,2,23,1,,1,,1,,,,,1,,,,,n/a,2,,4,2,35.9954071,-78.90190125,-1
R_3k0uO3dMcWZhMom,Default Response Set,Anonymous,,,152.3.21.128,0,3/24/15 15:49,3/24/15 15:56,1,Px33,2,44,1,,1,,1,,1,,,,,,,,,2,,4.5,3,35.9954071,-78.90190125,-1
R_3fK4IciKNAUIikh,Default Response Set,Anonymous,,,152.3.21.128,0,3/26/15 11:50,3/26/15 11:51,1,Px34,2,21,1,,1,,1,,,,,,1,,,,no,2,no,4,3,35.9954071,-78.90190125,-1
R_ROeh3PTTxW4cr1T,Default Response Set,Anonymous,,,152.3.21.128,0,3/26/15 14:54,3/26/15 14:57,1,Px35,2,21,1,,1,,1,,,,,1,1,,,,vegetarian,2,,5.5,3,35.9954071,-78.90190125,-1
R_1nMXX2vMZ7LCG1b,Default Response Set,Anonymous,,,152.3.21.128,0,3/26/15 15:47,3/26/15 15:56,1,Px36,2,20,1,,1,,1,,,,1,,1,,,,dairy,2,,5,4,35.9954071,-78.90190125,-1
R_31MoM1D8QUvnurG,Default Response Set,Anonymous,,,152.3.21.128,0,3/26/15 16:58,3/26/15 17:00,1,Px37,1,23,2,India,2,Indian citizen,2,1,,,,,,,,Indian,No,2,No,4,4,35.9954071,-78.90190125,-1
R_299SKVKfNo8hAwh,Default Response Set,Anonymous,,,152.3.21.128,0,3/28/15 12:57,3/28/15 13:05,1,Px38,2,20,2,Bulgaria,2,US Resident; Bulgarian Citizen,2,2,,,,,1,,,Bulgarian,No,2,,4.5,4,35.9954071,-78.90190125,-1
R_3Olw3jos2UiHaqI,Default Response Set,Anonymous,,,152.3.21.128,0,3/28/15 14:05,3/28/15 14:13,1,Px39,2,24,2,India,2,Indian,2,0.75,,,,,,,,Indian,No,2,No,3.5,3,35.9954071,-78.90190125,-1
R_22CUygEBG4fhgTY,Default Response Set,Anonymous,,,152.3.21.128,0,3/29/15 13:02,3/29/15 13:03,1,PX40,1,33,1,,1,,1,,1,,,,,,,,NO,2,NO,5,5,35.9954071,-78.90190125,-1
R_1dLC8jRHQztuRO8,Default Response Set,Anonymous,,,152.3.21.128,0,3/29/15 15:15,3/29/15 15:17,1,Px41,2,46,1,,1,,1,,1,,,,,,,,,2,n0,5,4,35.9954071,-78.90190125,-1
R_2D7CmanuGK8hr8T,Default Response Set,Anonymous,,,152.3.21.128,0,3/29/15 16:22,3/29/15 16:24,1,Px42,2,18,2,China,2,,2,1,,,,,,,,Chinese,,2,,4.5,4,35.9954071,-78.90190125,-1
R_1pEGbYL88W06FpW,Default Response Set,Anonymous,,,152.3.21.128,0,3/31/15 12:00,3/31/15 12:09,1,Px43,2,20,2,China,2,Chinese,2,3,,,,,,,,Chinese,No,2,,10 hours,4,35.9954071,-78.90190125,-1
R_23f9knL72HqJOiK,Default Response Set,Anonymous,,,152.3.21.128,0,3/31/15 12:45,3/31/15 13:05,1,Px44,2,22,2,India,2,Indian citizen,2,1,,,,,,,,Indian,vegetarian,1,,4.5,4,35.9954071,-78.90190125,-1
R_3CU8rrhbDfzJiuj,Default Response Set,Anonymous,,,152.3.21.128,0,3/31/15 13:57,3/31/15 15:12,1,Px45,2,22,2,India,2,Indian citizen,2,1,,,,,,,,Indian,Vegetarian (no meat),2,,5,4,35.9954071,-78.90190125,-1
R_129lczAR0gSXpW4,Default Response Set,Anonymous,,,152.3.21.128,0,4/1/15 13:07,4/1/15 13:34,1,Px46,2,53,1,,1,,1,,,,,,1,,,,shell fish,2,,4 hours,4,35.9954071,-78.90190125,-1
R_6L3zBjNcy1xKswh,Default Response Set,Anonymous,,,152.3.21.128,0,4/2/15 11:17,4/2/15 12:05,1,Px47,2,21,1,,1,,1,,,,,,1,,,,No,2,No,4,3,35.9954071,-78.90190125,-1
R_2EzuIy0tgXUtJjI,Default Response Set,Anonymous,,,152.3.21.128,0,4/2/15 12:56,4/2/15 13:02,1,Px48,2,21,1,,1,,1,,1,,,,,,,,,2,,4,4,35.9954071,-78.90190125,-1
R_2S2H0opK0Z3hfqC,Default Response Set,Anonymous,,,152.3.21.128,0,4/2/15 14:03,4/2/15 14:06,1,Px49,2,20,1,,1,,1,,,,1,,,,,,Cannot eat cheese,2,,4,4,35.9954071,-78.90190125,-1
R_2uEOQey5VKS3ODQ,Default Response Set,Anonymous,,,152.3.21.128,0,4/2/15 14:55,4/2/15 15:01,1,Px50,1,21,1,,1,,1,,,,1,,,,,n/a,n/a,2,n/a,4,3,35.9954071,-78.90190125,-1
R_0SWycRjygiQlrep,Default Response Set,Anonymous,,,152.3.21.128,0,4/2/15 16:00,4/2/15 16:03,1,Px51,2,19,1,,1,,1,,,,1,,,,,,No,1,,4,3,35.9954071,-78.90190125,-1
R_3CEgw2LTRdOqbA7,Default Response Set,Anonymous,,,152.3.21.128,0,4/2/15 16:51,4/2/15 17:14,1,Px52,1,20,1,,1,,1,,,,1,,,1,Indian American,,Vegetarian,2,No,5,3,35.9954071,-78.90190125,-1
R_2108RIsxy0OUzIG,Default Response Set,Anonymous,,,152.3.21.128,0,4/3/15 14:55,4/3/15 14:56,1,Px53,2,55,2,India,1,,2,29,,,1,,,,,,walnuts; pecans,2,NO,6,3,35.9954071,-78.90190125,-1
R_1C7sn6EYfwDkSyz,Default Response Set,Anonymous,,,152.3.21.128,0,4/3/15 15:52,4/3/15 16:01,1,Px54,2,21,1,,1,,1,,,,1,,,,,,no,1,no,4,3,35.9954071,-78.90190125,-1
R_28N7Vj4oUegLx9Y,Default Response Set,Anonymous,,,152.3.21.128,0,4/3/15 16:50,4/3/15 17:07,1,Px55,2,31,1,,1,,1,,,,,,1,,,,no,2,no,5,4,35.9954071,-78.90190125,-1
R_3KVJpZSrFuC6oVL,Default Response Set,Anonymous,,,152.3.21.128,0,4/15/15 12:53,4/15/15 13:02,1,Px56,2,23,1,,1,,1,,,,,1,,,,,n/a,2,no,6,5,35.9954071,-78.90190125,-1
R_1IdegcRfT1Szm1r,Default Response Set,Anonymous,,,152.3.21.128,0,4/16/15 13:50,4/16/15 15:28,1,Px57,2,21,1,,1,,1,,,,,1,,,,,None,2,No,4,3,35.9954071,-78.90190125,-1
R_1nTmRrQ5rjhyNy0,Default Response Set,Anonymous,,,152.3.21.128,0,4/16/15 16:10,4/16/15 16:11,1,Px58,1,29,1,,1,,1,,,,,,1,,,,no,2,,4.5,4,35.9954071,-78.90190125,-1
R_2QLh4oAUhbqzVE5,Default Response Set,Anonymous,,,152.3.21.128,0,4/18/15 14:52,4/18/15 15:09,1,Px59,2,21,1,,2,India,2,1,,,,,,1,Asian,Indian,No,2,none,4 hours,5,35.9954071,-78.90190125,-1
R_3qBxtFVrBp4GYRe,Default Response Set,Anonymous,,,152.3.21.128,0,4/21/15 12:14,4/21/15 12:16,1,Px60,2,21,1,,1,,1,,1,,,,,,,,,2,,12,4,35.9954071,-78.90190125,-1
R_28Mbks4PjDzJPOy,Default Response Set,Anonymous,,,152.3.21.128,0,4/23/15 13:12,4/23/15 13:13,1,Px61,2,20,2,China,1,,2,17,,,1,,,,,,no,2,no,4,3,35.9954071,-78.90190125,-1
R_1LHTvcxk17a99oY,Default Response Set,Anonymous,,,152.3.21.128,0,4/23/15 14:53,4/23/15 15:58,1,Px62,2,21,1,,1,,1,,,,,,1,,,,Zucchini,2,,4.5,5,35.9954071,-78.90190125,-1
R_p5EZoAGv4Pd7321,Default Response Set,Anonymous,,,152.3.21.128,0,4/24/15 13:40,4/24/15 13:55,1,Px63,2,22,1,,1,,1,,,,,1,,,,,,2,Vegitarian,20,5,35.9954071,-78.90190125,-1
